gene_id	gene_name	Control1	Control2	Eed_cKO1	Eed_cKO2
ENSMUSG00000000938.11	Hoxa10	0	0	2.368646	2.968556
ENSMUSG00000000942.10	Hoxa4	0	0	0.334835	0.288398
ENSMUSG00000000948.16	Gm38393	1.043984	1.144762	0.932873	0.743936
ENSMUSG00000000957.11	Mmp14	92.080625	77.544005	175.526092	71.584846
ENSMUSG00000000958.10	Slc7a7	15.272771	15.449612	5.624797	10.669777
ENSMUSG00000000959.7	Oxa1l	35.752789	43.306939	48.305065	45.816518
ENSMUSG00000000976.13	Heatr6	18.306265	11.347556	21.265998	29.314798
ENSMUSG00000000982.5	Ccl3	330.727063	474.162144	55.028396	331.606428
ENSMUSG00000000983.13	Wfdc18	0.589216	0	0	0
ENSMUSG00000001014.6	Icam4	0	0	0	0.138362
ENSMUSG00000001016.12	Ilf2	195.921658	177.241251	220.922292	158.035754
ENSMUSG00000001017.15	Chtop	268.894948	208.342472	218.800449	205.847225
ENSMUSG00000001018.15	Snapin	134.855495	112.759174	104.096698	113.602928
ENSMUSG00000001020.8	S100a4	58.395545	22.854516	24.070695	56.800059
ENSMUSG00000001021.13	S100a3	36.265917	18.45702	14.20117	33.235611
ENSMUSG00000001023.10	S100a5	0	0	0	2.958202
ENSMUSG00000001025.8	S100a6	306.124955	149.389301	208.937059	294.253372
ENSMUSG00000001027.7	Scn4a	0	0	0	0
ENSMUSG00000001029.15	Icam2	2.109725	3.216362	1.961128	9.140683
ENSMUSG00000001034.17	Mapk7	61.297601	31.168447	84.596991	68.78084
ENSMUSG00000001036.17	Epn2	170.146405	145.375841	175.035741	207.750431
ENSMUSG00000001039.12	B9d1	24.837741	44.881801	32.888278	43.682459
ENSMUSG00000001052.15	Sec24b	14.4593	14.829874	19.010194	17.64878
ENSMUSG00000001053.15	N4bp3	8.277418	8.285386	14.716154	9.45173
ENSMUSG00000001054.9	Rmnd5b	78.238911	78.659172	84.62014	71.978086
ENSMUSG00000001056.3	Nhp2	149.447899	186.304219	137.890312	130.102554
ENSMUSG00000001062.18	Vps9d1	38.468841	23.042118	34.400004	33.647183
ENSMUSG00000001065.15	Zfp276	56.70821	37.574841	26.846862	35.723024
ENSMUSG00000001076.7	C1ql4	0	0	0.22161	2.065107
ENSMUSG00000001082.12	Mfsd10	46.09268	35.566797	58.068233	62.849027
ENSMUSG00000001089.14	Luzp1	24.470062	11.775455	23.660615	33.501984
ENSMUSG00000001095.5	Slc13a2	0	0	0	0
ENSMUSG00000001098.15	Kctd10	44.030849	51.536302	47.059516	44.47975
ENSMUSG00000001100.10	Poldip2	125.986418	120.514763	111.628063	120.913604
ENSMUSG00000001103.7	Sebox	0	0.517827	0.412987	0.465777
ENSMUSG00000001105.15	Ift20	92.46556	84.089578	96.833149	105.057851
ENSMUSG00000001119.7	Col6a1	13.48534	10.817815	26.772707	10.568684
ENSMUSG00000001120.15	Pcbp3	49.670547	44.251174	45.825232	52.141873
ENSMUSG00000001123.15	Lgals9	50.786866	55.660645	23.308348	75.747355
ENSMUSG00000001127.12	Araf	145.109674	155.107288	123.467391	130.499024
ENSMUSG00000001128.7	Cfp	11.321947	16.671455	11.293659	30.383285
ENSMUSG00000001131.11	Timp1	1.304908	2.254414	5.216448	3.297209
ENSMUSG00000001134.9	Uxt	54.050756	50.174144	49.941273	46.642757
ENSMUSG00000001138.13	Cnnm3	4.984976	5.433895	21.079371	12.518955
ENSMUSG00000001143.13	Lman2l	59.292306	59.452695	68.144014	60.567932
ENSMUSG00000001150.7	Mcm3ap	8.763139	7.233944	12.650711	16.627099
ENSMUSG00000001151.10	Pcnt	3.931759	4.843114	6.904835	5.16544
ENSMUSG00000001155.13	Ftcd	0	0	0	0.228774
ENSMUSG00000001156.9	Mxd1	15.638356	17.50812	13.947352	21.767164
ENSMUSG00000001157.13	Gmcl1	36.760619	35.322375	45.427483	43.804474
ENSMUSG00000001158.13	Snrnp27	148.363235	137.940084	140.042483	116.632036
ENSMUSG00000001166.17	Oas1c	0.140862	2.612627	0.381419	0.422496
ENSMUSG00000001168.16	Oas1h	0.099844	0.077416	0.138392	0
ENSMUSG00000001173.15	Ocrl	4.790406	5.66904	5.681989	8.971636
ENSMUSG00000001175.16	Calm1	791.280301	805.345052	742.065543	896.645966
ENSMUSG00000001211.15	Agpat3	156.950415	159.119916	151.310395	150.756236
ENSMUSG00000001225.12	Slc26a3	0	0	0	0
ENSMUSG00000001227.12	Sema6b	11.78244	8.016512	7.001744	9.404911
ENSMUSG00000001228.14	Uhrf1	46.35549	52.420674	93.324521	38.599875
ENSMUSG00000001229.9	Dpp9	27.041398	24.464816	24.991173	21.253871
ENSMUSG00000001240.13	Ramp2	78.607176	77.14231	103.610405	94.48359
ENSMUSG00000001247.16	Lsr	3.045142	4.540688	11.443356	10.582341
ENSMUSG00000001248.15	Gramd1a	141.693825	140.285249	106.975526	108.787765
ENSMUSG00000001249.14	Hpn	1.960856	2.14019	0.467018	2.5021
ENSMUSG00000001260.10	Gabrg1	20.687294	31.976739	38.124663	28.816119
ENSMUSG00000001270.9	Ckb	3976.90121	3832.926194	5481.39634	3979.881021
ENSMUSG00000001280.13	Sp1	3.260533	3.522544	4.601596	4.959538
ENSMUSG00000001281.10	Itgb7	14.798863	23.289738	3.481735	14.967928
ENSMUSG00000001285.12	Myg1	62.819691	84.698595	75.066544	57.724143
ENSMUSG00000001288.15	Rarg	3.964522	1.918411	3.809433	5.06782
ENSMUSG00000001289.12	Pfdn5	216.283213	229.907153	215.352947	266.179323
ENSMUSG00000001300.16	Efnb2	8.28228	8.895832	16.782446	8.281116
ENSMUSG00000001305.5	Rrp15	41.901885	38.235616	62.187866	37.516203
ENSMUSG00000001313.12	Rnd2	719.827887	751.464445	127.882798	272.092723
ENSMUSG00000001323.17	Srr	57.695009	39.420185	52.698503	43.863028
ENSMUSG00000001333.9	Sync	0.161335	0.062375	0.298377	0.376856
ENSMUSG00000001334.9	Fndc5	8.828989	8.79548	8.973981	12.189117
ENSMUSG00000001348.15	Acp5	1.600545	1.348939	0.165513	3.020275
ENSMUSG00000001349.5	Cnn1	0.453488	0.260424	1.79476	0.269522
ENSMUSG00000001366.14	Fbxo9	71.239699	46.910722	62.627595	58.176113
ENSMUSG00000001376.17	Vps50	34.913888	27.372272	21.819634	28.190315
ENSMUSG00000001380.7	Hars	117.996019	99.70359	118.290449	96.360107
ENSMUSG00000001383.9	Zmat2	47.501221	45.09627	57.50639	54.091392
ENSMUSG00000001403.13	Ube2c	164.583759	191.812936	289.550656	178.366858
ENSMUSG00000001415.10	Smg5	32.999712	22.057397	32.959167	31.338548
ENSMUSG00000001416.13	Cct3	371.609835	417.166383	390.478194	351.875659
ENSMUSG00000001418.13	Glmp	132.347174	166.687165	135.699111	209.620881
ENSMUSG00000001419.17	Mef2d	25.919128	24.582501	14.910656	15.739104
ENSMUSG00000001420.13	Tmem79	0.282865	0.574189	0.812284	0.871869
ENSMUSG00000001424.14	Snd1	87.14787	86.85701	73.1004	70.89607
ENSMUSG00000001435.15	Col18a1	19.518443	19.670401	32.38103	23.358126
ENSMUSG00000001436.15	Slc19a1	51.386344	52.427416	56.696803	52.175379
ENSMUSG00000001440.5	Kpnb1	25.758537	25.359089	30.814561	29.323816
ENSMUSG00000001441.13	Npepps	34.665541	31.941082	38.64316	45.045581
ENSMUSG00000001444.2	Tbx21	0.641041	0	0.82909	0.128191
ENSMUSG00000001445.10	Mrpl10	59.285995	64.08863	55.970923	55.722509
ENSMUSG00000001467.5	Cyp51	151.120146	154.366168	162.804739	115.727585
ENSMUSG00000001472.17	Tcf25	205.653403	185.089479	193.775699	169.149293
ENSMUSG00000001473.7	Tubb6	75.140859	108.530051	71.674261	138.049294
ENSMUSG00000001482.15	Def8	29.753299	23.142406	31.446259	32.440302
ENSMUSG00000001493.9	Meox1	2.690883	2.024544	1.210466	1.938907
ENSMUSG00000001494.6	Sost	0	0	0.048968	0
ENSMUSG00000001496.15	Nkx2-1	1.299665	0.949111	1.842036	1.010613
ENSMUSG00000001497.18	Pax9	0	0	0.086551	0.242158
ENSMUSG00000001504.10	Irx2	3.310536	1.502202	2.703995	3.850443
ENSMUSG00000001506.10	Col1a1	55.420261	36.819988	91.836053	34.622623
ENSMUSG00000001507.16	Itga3	3.354907	5.129486	2.985395	6.280114
ENSMUSG00000001508.15	Sgca	0.240309	0.653471	0.559619	0.352427
ENSMUSG00000001510.8	Dlx3	0	0.140888	0	0.405326
ENSMUSG00000001517.14	Foxm1	19.928375	23.249595	48.132649	23.438541
ENSMUSG00000001518.12	Itfg2	35.772249	36.543876	37.979807	39.807658
ENSMUSG00000001520.12	Nrip2	1.736695	3.584191	1.795627	4.139946
ENSMUSG00000001521.12	Tulp3	1.941548	1.257998	7.12844	5.9603
ENSMUSG00000001524.14	Gtf2h4	25.49641	29.537513	32.929949	21.548524
ENSMUSG00000001525.10	Tubb5	367.854647	452.349126	481.711029	273.272824
ENSMUSG00000001542.7	Ell2	16.014599	7.404869	9.033492	15.629521
ENSMUSG00000001552.14	Jup	29.508512	24.969574	24.842236	22.929921
ENSMUSG00000001555.10	Fkbp10	31.988773	30.093792	68.248754	38.841893
ENSMUSG00000001558.5	Klhl10	0.40819	0.173154	0.716752	1.251211
ENSMUSG00000001566.9	Mnx1	0	0.126295	0.050344	0.240252
ENSMUSG00000001569.10	Nom1	22.517344	20.771186	22.263476	15.72634
ENSMUSG00000001576.15	Ergic1	160.743711	152.493292	182.484101	138.378499
ENSMUSG00000001583.13	Tnk1	0	0	0.116829	0
ENSMUSG00000001588.12	Acap1	0.309609	0	0.145249	0.663317
ENSMUSG00000001604.14	Tcea3	0.147052	0	0.586454	1.664665
ENSMUSG00000001622.15	Csn3	0	0	0	0
ENSMUSG00000001627.12	Ifrd1	180.811718	186.771017	169.640963	169.183962
ENSMUSG00000001630.13	Stk38l	16.106575	15.920291	14.612059	12.499167
ENSMUSG00000001632.16	Brpf1	19.192059	14.8108	17.310114	14.478084
ENSMUSG00000001642.18	Akr1b3	117.913012	151.475626	112.460683	145.778949
ENSMUSG00000001655.6	Hoxc13	0	0	0.559664	0.6922
ENSMUSG00000001656.3	Hoxc11	0	0	0	0.05428
ENSMUSG00000001657.7	Hoxc8	0	0	0.927527	1.191083
ENSMUSG00000001661.5	Hoxc6	0	0	0.338259	0.728273
ENSMUSG00000001663.10	Gstt1	16.9934	14.401737	31.717004	19.729396
ENSMUSG00000001665.11	Gstt3	2.128666	1.405768	1.501057	2.559622
ENSMUSG00000001666.8	Ddt	76.916654	82.469824	102.817429	85.412405
ENSMUSG00000001670.13	Tat	0	0.261181	0	0
ENSMUSG00000001672.14	Marveld3	0.653255	0.407028	2.418688	2.146239
ENSMUSG00000001674.11	Ddx18	38.52273	46.162768	50.231675	42.185416
ENSMUSG00000001687.15	Ubl3	342.243369	291.15829	153.87961	224.591275
ENSMUSG00000001700.10	Gramd3	87.561608	78.138504	38.986096	31.316654
ENSMUSG00000001707.8	Eef1e1	50.913856	50.601367	47.270087	48.088381
ENSMUSG00000001729.14	Akt1	195.141735	66.755939	279.164019	233.947381
ENSMUSG00000001739.14	Cldn15	0.967306	0	0.50252	1.521664
ENSMUSG00000001741.12	Il16	7.292801	3.865329	1.500205	4.748208
ENSMUSG00000001750.16	Tcirg1	64.388791	46.241063	27.764483	52.718677
ENSMUSG00000001751.9	Naglu	38.254623	34.335095	20.64534	36.946471
ENSMUSG00000001755.12	Coasy	50.387617	63.348361	48.739895	49.621238
ENSMUSG00000001761.7	Smo	27.304645	28.972225	43.994186	31.259061
ENSMUSG00000001763.14	Tspan33	13.608425	16.51735	26.783055	36.504296
ENSMUSG00000001767.5	Crnkl1	15.724584	18.251747	14.970403	17.462091
ENSMUSG00000001768.16	Rin2	46.393093	36.077389	34.021075	46.639119
ENSMUSG00000001773.14	Folh1	6.089394	7.157013	9.937933	6.590488
ENSMUSG00000001774.8	Chordc1	69.959384	55.321483	57.153858	49.361054
ENSMUSG00000001783.3	Rtcb	193.844494	190.878094	178.16232	171.410931
ENSMUSG00000001785.13	Pwp1	70.363772	70.105308	70.968812	55.674792
ENSMUSG00000001786.14	Fbxo7	152.010892	169.84003	58.367489	110.118213
ENSMUSG00000001794.13	Capns1	78.892571	78.20222	76.148246	99.572316
ENSMUSG00000001802.16	Lrp3	19.315642	14.731568	111.888616	99.678822
ENSMUSG00000001804.9	Dsg4	0	0	0	0
ENSMUSG00000001815.15	Evx2	0	0	0.044314	0
ENSMUSG00000001819.4	Hoxd13	0	0	0.553998	0.770902
ENSMUSG00000001823.5	Hoxd12	0	0	0	0
ENSMUSG00000001827.12	Folr1	0.263905	0	2.053525	12.735923
ENSMUSG00000001829.17	Clpb	59.199422	49.391261	61.163258	42.997561
ENSMUSG00000001833.17	Septin7	636.689948	630.672544	431.875894	526.187124
ENSMUSG00000001844.10	Zdhhc4	94.165783	77.258874	109.374415	75.765717
ENSMUSG00000001847.14	Rac1	898.717225	884.288111	573.359179	728.58016
ENSMUSG00000001855.15	Nup214	23.202991	19.978504	25.377058	35.867094
ENSMUSG00000001864.13	Aif1l	32.218259	29.6955	62.158726	31.807842
ENSMUSG00000001865.2	Cpa3	0	0	0	0.649163
ENSMUSG00000001870.16	Ltbp1	6.714499	7.53375	7.534938	8.109569
ENSMUSG00000001891.16	Ugp2	84.87099	80.476865	88.416272	80.548689
ENSMUSG00000001901.15	Kcnh6	0.091494	0.07056	0.449913	0.152503
ENSMUSG00000001909.16	Trmt1	81.523223	47.290842	53.209738	49.833885
ENSMUSG00000001910.5	Nacc1	20.039065	19.793694	22.486143	18.12363
ENSMUSG00000001911.16	Nfix	174.639634	204.26688	327.365427	152.060281
ENSMUSG00000001918.17	Slc1a5	19.066639	22.908462	42.127304	18.811852
ENSMUSG00000001924.15	Uba1	183.679383	165.374246	177.892093	139.206634
ENSMUSG00000001930.17	Vwf	3.629629	3.922699	1.014213	7.365959
ENSMUSG00000001942.8	Siae	15.347485	13.798655	16.563494	10.675621
ENSMUSG00000001943.8	Vsig2	0	0.96079	0	0.214918
ENSMUSG00000001946.14	Esam	6.984262	13.038966	11.097907	31.229964
ENSMUSG00000001948.10	Spa17	12.196827	11.077179	14.391445	18.498771
ENSMUSG00000001962.8	Fam50a	76.927726	79.079334	91.209293	83.637032
ENSMUSG00000001964.14	Emd	43.334526	47.588961	54.206023	43.688821
ENSMUSG00000001983.7	Taco1	5.762589	5.928316	9.55417	6.712679
ENSMUSG00000001985.9	Grik3	2.510932	2.603415	1.647769	3.446666
ENSMUSG00000001986.16	Gria3	42.237371	35.110538	37.791333	60.009251
ENSMUSG00000001988.9	Npas1	49.856634	63.125793	51.381339	141.405945
ENSMUSG00000001995.9	Sipa1l2	8.656123	10.914448	9.035599	8.893978
ENSMUSG00000001998.15	Ap4e1	6.301637	3.21779	4.862881	6.300484
ENSMUSG00000001999.15	Blvra	44.687171	61.014788	45.573852	79.352693
ENSMUSG00000002006.12	Pdzd4	0.573796	0.648533	0.615952	0.765201
ENSMUSG00000002007.5	Srpk3	19.976832	9.878875	1.170377	10.829134
ENSMUSG00000002010.17	Idh3g	244.286215	218.175075	266.129438	238.118193
ENSMUSG00000002012.13	Pnck	46.779735	36.798574	51.204793	45.967797
ENSMUSG00000002014.12	Ssr4	158.737575	160.031434	191.420749	196.24633
ENSMUSG00000002015.5	Bcap31	217.108811	216.539144	179.721427	212.335716
ENSMUSG00000002017.10	Fam98a	27.08049	23.157184	19.074563	15.465801
ENSMUSG00000002020.15	Ltbp2	0.478085	0	0	0
ENSMUSG00000002028.13	Kmt2a	8.117668	3.100045	9.329145	9.411484
ENSMUSG00000002031.13	Ift46	83.654296	66.935121	94.20474	72.402212
ENSMUSG00000002032.17	Tmem25	12.283405	5.139575	9.739079	5.931701
